Date,Close,Net,PerctChg,Open,Low,High,Volume,O-C,H-L,PercentCVol
2019-02-04 19:00,7347.54,0,0,7347.54,7347.54,7347.54,80582,0,0,-0.4256
2019-02-04 18:30,7347.54,0,0,7347.54,7347.54,7347.54,140282,0,0,-0.7574
2019-02-04 18:00,7347.54,0,0,7347.54,7347.54,7347.54,578219,0,0,0.4075
2019-02-04 17:30,7347.54,0,0,7347.54,7347.54,7347.54,410802,0,0,-0.1446
2019-02-04 17:00,7347.54,0,0,7347.54,7347.54,7347.54,480264,0,0,-0.9952
2019-02-04 16:30,7347.54,1.274,0.0002,7346.26,7346.26,7348.23,100601896,1.274,1.97,0.4499
2019-02-04 16:00,7346.26,13.112,0.0018,7332.94,7324.57,7346.26,69383513,13.319,21.694,1.6983
2019-02-04 15:30,7333.15,-2.434,-0.0003,7335.53,7330.09,7338.26,25714254,-2.383,8.173,0.3041
2019-02-04 15:00,7335.58,-2.292,-0.0003,7337.86,7330.35,7338.42,19717802,-2.28,8.07,0.0418
2019-02-04 14:30,7337.88,1.163,0.0002,7336.71,7335.6,7342.09,18927512,1.169,6.492,-0.0004
2019-02-04 14:00,7336.71,11.351,0.0016,7325.35,7325.29,7337.48,18934832,11.362,12.199,-0.0294
2019-02-04 13:30,7325.36,-2.411,-0.0003,7327.76,7325.32,7331.4,19508901,-2.399,6.077,-0.0056
2019-02-04 13:00,7327.77,2.502,0.0003,7325.23,7323.93,7329.93,19619107,2.545,5.998,-0.0086
2019-02-04 12:30,7325.27,-2.267,-0.0003,7327.59,7324.74,7330.59,19789465,-2.32,5.846,-0.0729
2019-02-04 12:00,7327.54,7.345,0.001,7320.26,7317.17,7330.01,21346623,7.283,12.843,-0.1317
2019-02-04 11:30,7320.19,11.031,0.0015,7309.13,7309.13,7325.49,24583297,11.068,16.364,-0.1557
2019-02-04 11:00,7309.16,16.537,0.0023,7292.5,7291.82,7313.11,29117810,16.665,21.284,-0.2333
2019-02-04 10:30,7292.63,4.38,0.0006,7288.17,7274.24,7303.21,37977751,4.453,28.963,-0.4736
2019-02-04 10:00,7288.25,24.377,0.0034,7266.28,7261.07,7292.9,72141852,21.968,31.828,3805.9579
2019-02-01 20:30,7263.87,0,0,7263.87,7263.87,7263.87,18950,0,0,-0.6442
2019-02-01 20:00,7263.87,0,0,7263.87,7263.87,7263.87,53260,0,0,-0.0429
2019-02-01 19:30,7263.87,0,0,7263.87,7263.87,7263.87,55650,0,0,-0.2699
2019-02-01 19:00,7263.87,0,0,7263.87,7263.87,7263.87,76220,0,0,-0.1141
2019-02-01 18:30,7263.87,0,0,7263.87,7263.87,7263.87,86041,0,0,-0.4165
2019-02-01 18:00,7263.87,0,0,7263.87,7263.87,7263.87,147450,0,0,0.159
2019-02-01 17:30,7263.87,0,0,7263.87,7263.87,7263.87,127218,0,0,0.0656
2019-02-01 17:00,7263.87,0,0,7263.87,7263.87,7263.87,119386,0,0,-0.9994
2019-02-01 16:30,7263.87,0.441,0.0001,7264.58,7263.87,7264.58,195341307,-0.707,0.707,1.4856
2019-02-01 16:00,7263.43,9.941,0.0014,7253.49,7253.32,7265.37,78589148,9.941,12.05,1.8878
2019-02-01 15:30,7253.49,5.467,0.0008,7247.98,7243.41,7253.49,27214362,5.502,10.072,0.2866
2019-02-01 15:00,7248.02,-4.901,-0.0007,7252.92,7245.46,7259.49,21152722,-4.901,14.03,-0.0949
2019-02-01 14:30,7252.92,-15.067,-0.0021,7267.99,7248.98,7268.34,23370415,-15.067,19.362,0.2074
2019-02-01 14:00,7267.99,-2.284,-0.0003,7270.27,7257.99,7273.73,19355463,-2.284,15.743,-0.0141
2019-02-01 13:30,7270.27,-4.399,-0.0006,7274.67,7263.1,7279.5,19632568,-4.399,16.398,-0.0347
2019-02-01 13:00,7274.67,-6.35,-0.0009,7281.01,7269.31,7281.48,20338668,-6.343,12.168,-0.1569
2019-02-01 12:30,7281.02,-15.235,-0.0021,7296.31,7275.64,7296.58,24124729,-15.286,20.946,-0.0502
2019-02-01 12:00,7296.26,14.614,0.002,7281.56,7279.08,7298.28,25399515,14.699,19.193,-0.1401
2019-02-01 11:30,7281.64,10.68,0.0015,7271.03,7263.74,7285.74,29537146,10.613,21.998,-0.1695
2019-02-01 11:00,7270.96,-22.925,-0.0031,7293.87,7270.96,7299.59,35566813,-22.911,28.636,-0.1749
2019-02-01 10:30,7293.89,42.107,0.0058,7257.73,7256.92,7299.94,43106541,36.158,43.027,-0.439
2019-02-01 10:00,7251.78,-29.958,-0.0041,7256.37,7251.46,7286.67,76838378,-4.592,35.207,826.4469
2019-01-31 20:00,7281.74,0,0,7281.74,7281.74,7281.74,92862,0,0,0.2397
2019-01-31 19:30,7281.74,0,0,7281.74,7281.74,7281.74,74907,0,0,-0.502
2019-01-31 19:00,7281.74,0,0,7281.74,7281.74,7281.74,150408,0,0,-0.3301
2019-01-31 18:30,7281.74,0,0,7281.74,7281.74,7281.74,224515,0,0,0.179
2019-01-31 18:00,7281.74,0,0,7281.74,7281.74,7281.74,190424,0,0,-0.2822
2019-01-31 17:30,7281.74,0,0,7281.74,7281.74,7281.74,265301,0,0,-0.4652
2019-01-31 17:00,7281.74,0,0,7281.74,7281.74,7281.74,496116,0,0,-0.9978
2019-01-31 16:30,7281.74,1.449,0.0002,7280.29,7279.43,7281.74,220905745,1.449,2.309,1.1689
2019-01-31 16:00,7280.29,19.716,0.0027,7260.57,7259.08,7285.04,101852234,19.716,25.955,1.9882
2019-01-31 15:30,7260.57,-15.14,-0.0021,7275.71,7250.27,7275.71,34084816,-15.14,25.445,0.354
2019-01-31 15:00,7275.71,2.402,0.0003,7273.31,7268.55,7278.57,25173378,2.402,10.015,0.0225
2019-01-31 14:30,7273.31,-7.18,-0.001,7280.49,7270.18,7284.78,24619729,-7.18,14.6,0.076
2019-01-31 14:00,7280.49,9.663,0.0013,7270.83,7263.82,7280.5,22880807,9.663,16.68,-0.1172
2019-01-31 13:30,7270.83,-9.062,-0.0012,7279.89,7269.41,7287.5,25918903,-9.062,18.093,-0.0525
2019-01-31 13:00,7279.89,-5.572,-0.0008,7285.46,7273.92,7292.17,27355424,-5.572,18.251,-0.0892
2019-01-31 12:30,7285.46,-13.452,-0.0018,7298.91,7285.46,7299.31,30033583,-13.448,13.849,-0.0797
2019-01-31 12:00,7298.91,26.041,0.0036,7272.73,7268.21,7303.12,32635933,26.187,34.91,-0.2096
2019-01-31 11:30,7272.87,6.903,0.001,7265.99,7264.44,7276.81,41289700,6.885,12.367,0.0022
2019-01-31 11:00,7265.97,3.871,0.0005,7262.23,7260.31,7279.01,41197947,3.735,18.697,-0.143
2019-01-31 10:30,7262.1,21.512,0.003,7240.47,7238.03,7267.24,48070387,21.624,29.211,-0.4796
2019-01-31 10:00,7240.59,57.507,0.008,7208.17,7205.95,7243.89,92372990,32.413,37.94,5396.5102
2019-01-30 20:30,7183.08,0,0,7183.08,7183.08,7183.08,17114,0,0,-0.8699
2019-01-30 20:00,7183.08,0,0,7183.08,7183.08,7183.08,131552,0,0,-0.139
2019-01-30 19:30,7183.08,0,0,7183.08,7183.08,7183.08,152795,0,0,-0.5046
2019-01-30 19:00,7183.08,0,0,7183.08,7183.08,7183.08,308442,0,0,-0.4325
2019-01-30 18:30,7183.08,0,0,7183.08,7183.08,7183.08,543540,0,0,-0.4873
2019-01-30 18:00,7183.08,0,0,7183.08,7183.08,7183.08,1060103,0,0,-0.2924
2019-01-30 17:30,7183.08,0,0,7183.08,7183.08,7183.08,1498250,0,0,-0.1218
2019-01-30 17:00,7183.08,0,0,7183.08,7183.08,7183.08,1706016,0,0,-0.9976
2019-01-30 16:30,7183.08,1.315,0.0002,7182.88,7182.88,7183.08,704082563,0.195,0.195,6.803
2019-01-30 16:00,7181.76,2.904,0.0004,7178.78,7166.3,7182.06,90232041,2.98,15.757,1.309
2019-01-30 15:30,7178.86,-22.188,-0.0031,7200.98,7172.92,7200.98,39078535,-22.118,28.063,0.0742
2019-01-30 15:00,7201.05,31.701,0.0044,7169.35,7164.31,7201.31,36379586,31.701,36.994,-0.1159
2019-01-30 14:30,7169.35,54.405,0.0076,7114.94,7114.84,7178.44,41148473,54.405,63.6,0.8755
2019-01-30 14:00,7114.94,-3.114,-0.0004,7118.06,7112.86,7120.39,21940365,-3.114,7.527,0.1116
2019-01-30 13:30,7118.06,-4.165,-0.0006,7122.22,7114.56,7125.47,19737317,-4.165,10.91,-0.0312
2019-01-30 13:00,7122.22,-1.377,-0.0002,7123.6,7117.28,7125.18,20372684,-1.377,7.897,-0.2105
2019-01-30 12:30,7123.6,19.412,0.0027,7104.19,7104.11,7129.92,25805675,19.412,25.812,0.0643
2019-01-30 12:00,7104.19,12.781,0.0018,7091.34,7087.54,7104.19,24245660,12.842,16.646,-0.1536
2019-01-30 11:30,7091.41,5.855,0.0008,7085.68,7085.68,7099.98,28646742,5.726,14.3,-0.1769
2019-01-30 11:00,7085.55,-0.005,0,7085.75,7083.64,7094.86,34804792,-0.2,11.213,-0.0984
2019-01-30 10:30,7085.56,5.608,0.0008,7079.68,7065.57,7087.35,38603194,5.879,21.778,-0.5525
2019-01-30 10:00,7079.95,51.657,0.0074,7094.79,7078.02,7108.33,86267316,-14.844,30.307,2660.75
2019-01-29 20:30,7028.29,0,0,7028.29,7028.29,7028.29,32410,0,0,-0.8107
2019-01-29 20:00,7028.29,0,0,7028.29,7028.29,7028.29,171248,0,0,-0.2876
2019-01-29 19:30,7028.29,0,0,7028.29,7028.29,7028.29,240381,0,0,0.0769
2019-01-29 19:00,7028.29,0,0,7028.29,7028.29,7028.29,223217,0,0,-0.2594
2019-01-29 18:30,7028.29,0,0,7028.29,7028.29,7028.29,301397,0,0,-0.5128
2019-01-29 18:00,7028.29,0,0,7028.29,7028.29,7028.29,618590,0,0,-0.5505
2019-01-29 17:30,7028.29,0,0,7028.29,7028.29,7028.29,1376315,0,0,-0.5931
2019-01-29 17:00,7028.29,0,0,7028.29,7028.29,7028.29,3382078,0,0,-0.9618
2019-01-29 16:30,7028.29,0.883,0.0001,7027.24,7027.24,7028.29,88549516,1.051,1.051,0.2547
