Date,Close,Lower Bound,Upper Bound,Middle Bound,sellSignal,buySignal
2017-10-13,1.3684301357320225,1.3122948262344944,1.393621421835652,1.3529581240350732,0,0
2017-10-16,1.393621421835652,1.3122948262344944,1.3835972116534645,1.3479460189439796,0,1
2017-10-17,1.3987642875749062,1.3122948262344944,1.393621421835652,1.3529581240350732,0,1
2017-10-18,1.3925754614943084,1.3122948262344944,1.3987642875749062,1.3555295569047003,0,0
2017-10-19,1.3596264623026106,1.3122948262344944,1.3987642875749062,1.3555295569047003,0,0
2017-10-20,1.3619797794376807,1.3122948262344944,1.3987642875749062,1.3555295569047003,0,0
2017-10-23,1.3612824279563314,1.3122948262344944,1.3987642875749062,1.3555295569047003,0,0
2017-10-24,1.3693891511884781,1.3348710063840106,1.3987642875749062,1.3668176469794584,0,0
2017-10-25,1.3633746250791654,1.336091543136786,1.3987642875749062,1.367427915355846,0,0
2017-10-26,1.3720910682661183,1.336091543136786,1.3987642875749062,1.367427915355846,0,0
2017-10-27,1.4212533801607483,1.337834730115542,1.3987642875749062,1.368299508845224,0,1
2017-10-30,1.4532436314187136,1.337834730115542,1.4212533801607483,1.3795440551381453,0,1
2017-10-31,1.4734662179930131,1.337834730115542,1.4532436314187136,1.3955391807671278,0,1
2017-11-01,1.4547254219450867,1.337834730115542,1.4734662179930131,1.4056504740542777,0,0
2017-11-02,1.465359771201013,1.353699023756972,1.4734662179930131,1.4135826208749926,0,0
2017-11-03,1.5036258023418885,1.353699023756972,1.4734662179930131,1.4135826208749926,0,1
2017-11-06,1.5188799569095799,1.3584060593111964,1.5036258023418885,1.4310159308265424,0,1
2017-11-07,1.523761444031299,1.3589289770598998,1.5188799569095799,1.4389044669847397,0,1
2017-11-08,1.5362261837561682,1.3596264623026106,1.523761444031299,1.4416939531669548,0,1
2017-11-09,1.5330882938147132,1.3596264623026106,1.5362261837561682,1.4479263230293893,0,0
2017-11-10,1.5280142795068667,1.3596264623026106,1.5362261837561682,1.4479263230293893,0,0
2017-11-13,1.5218907646403124,1.3596264623026106,1.5362261837561682,1.4479263230293893,0,0
2017-11-14,1.49888338244887,1.3596264623026106,1.5362261837561682,1.4479263230293893,0,0
2017-11-15,1.4791129538631114,1.3596264623026106,1.5362261837561682,1.4479263230293893,0,0
2017-11-16,1.4967841048913078,1.3596264623026106,1.5362261837561682,1.4479263230293893,0,0
2017-11-17,1.4884734134179247,1.3612824279563314,1.5362261837561682,1.4487543058562498,0,0
2017-11-20,1.4869861832628564,1.3612824279563314,1.5362261837561682,1.4487543058562498,0,0
2017-11-21,1.51462984124836,1.3633746250791654,1.5362261837561682,1.4498004044176667,0,0
2017-11-22,1.5305512866607898,1.3633746250791654,1.5362261837561682,1.4498004044176667,0,0
2017-11-24,1.5306389181873332,1.3720910682661183,1.5362261837561682,1.4541586260111432,0,0
2017-11-27,1.5229403989603816,1.4212533801607483,1.5362261837561682,1.4787397819584582,0,0
2017-11-28,1.5140176690019287,1.4532436314187136,1.5362261837561682,1.494734907587441,0,0
2017-11-29,1.4826122402507071,1.4547254219450867,1.5362261837561682,1.4954758028506274,0,0
2017-11-30,1.5033449569875625,1.4547254219450867,1.5362261837561682,1.4954758028506274,0,0
2017-12-01,1.4963465090563084,1.465359771201013,1.5362261837561682,1.5007929774785906,0,0
2017-12-04,1.4854117228653285,1.4791129538631114,1.5362261837561682,1.5076695688096398,0,0
2017-12-05,1.4840118477966564,1.4791129538631114,1.5362261837561682,1.5076695688096398,0,0
2017-12-06,1.47850078161668,1.4791129538631114,1.5362261837561682,1.5076695688096398,1,0
2017-12-07,1.481212632704758,1.47850078161668,1.5362261837561682,1.507363482686424,0,0
2017-12-08,1.481649827255673,1.47850078161668,1.5330882938147132,1.5057945377156967,0,0
2017-12-11,1.5105183826143331,1.47850078161668,1.5306389181873332,1.5045698499020066,0,0
2017-12-12,1.5020328382893715,1.47850078161668,1.5306389181873332,1.5045698499020066,0,0
2017-12-13,1.507019087309313,1.47850078161668,1.5306389181873332,1.5045698499020066,0,0
2017-12-14,1.506581625235675,1.47850078161668,1.5306389181873332,1.5045698499020066,0,0
2017-12-15,1.5218907646403124,1.47850078161668,1.5306389181873332,1.5045698499020066,0,0
2017-12-18,1.5433232762327185,1.47850078161668,1.5306389181873332,1.5045698499020066,0,1
2017-12-19,1.5268771474216152,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2017-12-20,1.5252150644149682,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2017-12-21,1.5309886149730665,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2017-12-22,1.5309886149730665,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2017-12-26,1.4921476953358848,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2017-12-27,1.4924100281177972,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2017-12-28,1.4966091271957918,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2017-12-29,1.4804253400840255,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2018-01-02,1.506931598461555,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2018-01-03,1.506669123000857,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2018-01-04,1.5136676957760489,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2018-01-05,1.5309012598866698,1.47850078161668,1.5433232762327185,1.5109120289246993,0,0
2018-01-08,1.5252150644149682,1.4804253400840255,1.5433232762327185,1.5118743081583719,0,0
2018-01-09,1.5250400778020283,1.4804253400840255,1.5433232762327185,1.5118743081583719,0,0
2018-01-10,1.5246901134935724,1.4804253400840255,1.5433232762327185,1.5118743081583719,0,0
